SI,Emoji Unicode,Emoji Name,Emoji Character
388,U+1F9D1-U+1F3FE-U+200D-U+1F3A8,:artist_medium-dark_skin_tone:,🧑🏾‍🎨
389,U+1F9D1-U+1F3FC-U+200D-U+1F3A8,:artist_medium-light_skin_tone:,🧑🏼‍🎨
390,U+1F9D1-U+1F3FD-U+200D-U+1F3A8,:artist_medium_skin_tone:,🧑🏽‍🎨
391,U+1F3A8,:artist_palette:,🎨
392,U+1F632,:astonished_face:,😲
393,U+1F9D1-U+200D-U+1F680,:astronaut:,🧑‍🚀
394,U+1F9D1-U+1F3FF-U+200D-U+1F680,:astronaut_dark_skin_tone:,🧑🏿‍🚀
395,U+1F9D1-U+1F3FB-U+200D-U+1F680,:astronaut_light_skin_tone:,🧑🏻‍🚀
396,U+1F9D1-U+1F3FE-U+200D-U+1F680,:astronaut_medium-dark_skin_tone:,🧑🏾‍🚀
397,U+1F9D1-U+1F3FC-U+200D-U+1F680,:astronaut_medium-light_skin_tone:,🧑🏼‍🚀
398,U+1F9D1-U+1F3FD-U+200D-U+1F680,:astronaut_medium_skin_tone:,🧑🏽‍🚀
399,U+269B-U+FE0F,:atom_symbol:,⚛️
400,U+269B,:atom_symbol:,⚛
401,U+1F6FA,:auto_rickshaw:,🛺
402,U+1F697,:automobile:,🚗
403,U+1F951,:avocado:,🥑
404,U+1FA93,:axe:,🪓
405,U+1F476,:baby:,👶
406,U+1F47C,:baby_angel:,👼
407,U+1F47C-U+1F3FF,:baby_angel_dark_skin_tone:,👼🏿
408,U+1F47C-U+1F3FB,:baby_angel_light_skin_tone:,👼🏻
409,U+1F47C-U+1F3FE,:baby_angel_medium-dark_skin_tone:,👼🏾
410,U+1F47C-U+1F3FC,:baby_angel_medium-light_skin_tone:,👼🏼
411,U+1F47C-U+1F3FD,:baby_angel_medium_skin_tone:,👼🏽
412,U+1F37C,:baby_bottle:,🍼
413,U+1F424,:baby_chick:,🐤
414,U+1F476-U+1F3FF,:baby_dark_skin_tone:,👶🏿
415,U+1F476-U+1F3FB,:baby_light_skin_tone:,👶🏻
416,U+1F476-U+1F3FE,:baby_medium-dark_skin_tone:,👶🏾
417,U+1F476-U+1F3FC,:baby_medium-light_skin_tone:,👶🏼
418,U+1F476-U+1F3FD,:baby_medium_skin_tone:,👶🏽
419,U+1F6BC,:baby_symbol:,🚼
420,U+1F447,:backhand_index_pointing_down:,👇
421,U+1F447-U+1F3FF,:backhand_index_pointing_down_dark_skin_tone:,👇🏿
422,U+1F447-U+1F3FB,:backhand_index_pointing_down_light_skin_tone:,👇🏻
423,U+1F447-U+1F3FE,:backhand_index_pointing_down_medium-dark_skin_tone:,👇🏾
424,U+1F447-U+1F3FC,:backhand_index_pointing_down_medium-light_skin_tone:,👇🏼
